Serial-No,Period,Age-group,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,Airtime-Data-bundles
1,20/03/2024,Millennials,Middle Income,More,More,Same
2,20/03/2024,Millennials,Middle Income,Same,Same,Same
3,20/03/2024,Millennials,Low Income,Same,Same,Same
4,20/03/2024,Gen X,High Income,More,More,Same
5,20/03/2024,Gen X,High Income,Same,Same,Same
6,20/03/2024,Millennials,Middle Income,More,More,Same
7,20/03/2024,Millennials,High Income,More,Same,Same
8,20/03/2024,Gen Z,Middle Income,Same,More,More
9,20/03/2024,Gen X,High Income,Same,Same,More
10,20/03/2024,Gen X,Middle Income,More,More,More
11,20/03/2024,Millennials,Middle Income,Same,Same,Same
12,20/03/2024,Millennials,High Income,Less,Same,Same
13,20/03/2024,Millennials,Middle Income,Less,Same,Same
14,20/03/2024,Millennials,Middle Income,Same,Same,More
15,20/03/2024,Millennials,Middle Income,Same,Less,Same
16,20/03/2024,Gen X,Middle Income,Same,Same,Less
17,20/03/2024,Millennials,High Income,Same,Same,Same
18,20/03/2024,Millennials,Low Income,Less,Same,Same
19,20/03/2024,Millennials,Middle Income,Same,More,Same
20,20/03/2024,Gen X,High Income,Same,Same,More
21,20/03/2024,Millennials,High Income,Same,More,Same
22,20/03/2024,Gen X,High Income,Same,Same,Same
23,20/03/2024,Millennials,Middle Income,Same,More,Same
24,20/03/2024,Millennials,High Income,Same,Same,Same
25,20/03/2024,Gen X,Middle Income,Same,More,More
26,20/03/2024,Millennials,Middle Income,Same,Same,Same
27,20/03/2024,Gen X,Middle Income,Same,Same,More
28,20/03/2024,Gen X,Middle Income,Same,Same,More
29,20/03/2024,Gen X,High Income,More,More,Same
30,20/03/2024,Millennials,Middle Income,Same,Same,More
31,20/03/2024,Gen X,Middle Income,More,Same,More
32,20/03/2024,Baby Boomers,Middle Income,Less,Less,Same
33,20/03/2024,Millennials,High Income,Same,More,Same
34,20/03/2024,Baby Boomers,Middle Income,Less,More,Same
35,20/03/2024,Gen X,High Income,More,More,Same
36,20/03/2024,Gen X,High Income,Same,Same,Same
37,20/03/2024,Millennials,Middle Income,Same,Same,Same
38,20/03/2024,Millennials,Middle Income,Same,Same,More
39,20/03/2024,Millennials,Middle Income,Same,Same,More
40,20/03/2024,Baby Boomers,High Income,More,More,Same
41,20/03/2024,Millennials,Low Income,Same,More,Same
42,20/03/2024,Baby Boomers,Middle Income,Less,Less,Less
43,20/03/2024,Gen X,Low Income,Same,Same,Same
44,20/03/2024,Gen X,Middle Income,Same,Same,Same
45,20/03/2024,Gen X,Middle Income,Same,Same,Same
46,20/03/2024,Gen X,Middle Income,Same,Same,Same
47,20/03/2024,Baby Boomers,High Income,Same,Same,Same
48,20/03/2024,Gen X,Middle Income,Same,Same,Less
49,20/03/2024,Gen X,High Income,Same,Same,Same
50,20/03/2024,Gen X,Middle Income,Same,More,Same
51,20/03/2024,Millennials,High Income,Same,Same,Same
52,20/03/2024,Gen X,Middle Income,Same,Less,Same
53,20/03/2024,Gen X,Middle Income,Same,Same,More
54,20/03/2024,Gen X,High Income,Same,Same,Same
55,20/03/2024,Gen X,High Income,Same,Same,Same
56,20/03/2024,Gen X,Middle Income,Less,Same,Same
57,20/03/2024,Gen Z,Middle Income,Same,Less,Same
58,20/03/2024,Gen X,Middle Income,Same,Same,Same
59,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Don't Know or Don't Buy
60,20/03/2024,Gen X,Middle Income,Same,Same,More
61,20/03/2024,Millennials,High Income,Same,Same,Same
62,20/03/2024,Millennials,Middle Income,More,More,Same
63,20/03/2024,Millennials,Middle Income,Less,Same,Same
64,20/03/2024,Millennials,Middle Income,Same,Same,Same
65,20/03/2024,Millennials,Middle Income,Same,More,More
66,20/03/2024,Millennials,Low Income,Same,Same,Same
67,20/03/2024,Millennials,Middle Income,Same,Same,Same
68,20/03/2024,Millennials,Middle Income,Same,Same,Same
69,20/03/2024,Gen X,Middle Income,Same,Same,Less
70,20/03/2024,Millennials,Middle Income,Same,Same,Less
71,20/03/2024,Gen X,Middle Income,Same,More,Less
72,20/03/2024,Millennials,Middle Income,Same,Less,Same
73,20/03/2024,Millennials,Middle Income,Same,Same,Same
74,20/03/2024,Gen X,High Income,Same,Same,Same
75,20/03/2024,Gen X,Middle Income,Same,Same,Same
76,20/03/2024,Millennials,Middle Income,Same,Same,Same
77,20/03/2024,Millennials,Low Income,Same,Same,Same
78,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
79,20/03/2024,Millennials,Middle Income,Same,Less,Same
80,20/03/2024,Gen X,Middle Income,Same,More,More
81,20/03/2024,Baby Boomers,Middle Income,Same,Less,Less
82,20/03/2024,Millennials,Middle Income,Less,Less,Same
83,20/03/2024,Gen Z,Middle Income,Same,Same,Same
84,20/03/2024,Millennials,Low Income,Less,Same,Less
85,20/03/2024,Millennials,Middle Income,Same,Same,Less
86,20/03/2024,Gen X,High Income,Same,Less,More
87,20/03/2024,Baby Boomers,High Income,More,Same,More
88,20/03/2024,Millennials,Middle Income,Same,Less,Less
89,20/03/2024,Millennials,Middle Income,More,Same,Same
90,20/03/2024,Millennials,Middle Income,Same,Same,Same
91,20/03/2024,Gen Z,Middle Income,More,Same,Same
92,20/03/2024,Millennials,Middle Income,Same,Same,More
93,20/03/2024,Gen X,Middle Income,Less,Less,Less
94,20/03/2024,Millennials,Low Income,Same,Same,Same
95,20/03/2024,Millennials,Middle Income,Same,Less,Same
96,20/03/2024,Millennials,Middle Income,Same,Same,Same
97,20/03/2024,Baby Boomers,Middle Income,Less,Same,Same
98,20/03/2024,Millennials,Middle Income,Less,Less,Less
99,20/03/2024,Millennials,Middle Income,Same,Same,More
100,20/03/2024,Millennials,Middle Income,Same,Same,More
101,20/03/2024,Gen Z,Middle Income,Same,Same,Same
102,20/03/2024,Gen Z,Middle Income,Same,Same,More
103,20/03/2024,Gen Z,Middle Income,Same,Same,Same
104,20/03/2024,Millennials,Middle Income,Same,Same,Same
105,20/03/2024,Millennials,Middle Income,More,Less,Same
106,20/03/2024,Millennials,Low Income,Same,Same,More
107,20/03/2024,Millennials,Middle Income,Same,Same,More
108,20/03/2024,Gen X,Middle Income,More,More,Don't Know or Don't Buy
109,20/03/2024,Millennials,Low Income,More,More,More
110,20/03/2024,Baby Boomers,High Income,More,More,More
111,20/03/2024,Millennials,Low Income,Same,Same,Same
112,20/03/2024,Millennials,High Income,Same,Same,Same
113,20/03/2024,Gen Z,High Income,Same,Don't Know or Don't Buy,More
114,20/03/2024,Millennials,Middle Income,Same,Same,Same
115,20/03/2024,Millennials,Middle Income,Same,Same,Less
116,20/03/2024,Gen Z,Middle Income,Same,Same,More
117,20/03/2024,Millennials,Middle Income,Same,Same,Same
118,20/03/2024,Millennials,Middle Income,Same,Same,Same
119,20/03/2024,Millennials,Middle Income,More,More,Same
120,20/03/2024,Gen Z,Middle Income,Same,Less,Same
121,20/03/2024,Gen X,Low Income,Same,Same,Same
122,20/03/2024,Millennials,Middle Income,More,Same,Less
123,20/03/2024,Gen X,Middle Income,Same,Same,Same
124,20/03/2024,Millennials,Middle Income,Same,Same,Same
125,20/03/2024,Millennials,Middle Income,Same,More,More
126,20/03/2024,Millennials,Middle Income,Same,Same,More
127,20/03/2024,Millennials,Low Income,Same,Same,Same
128,20/03/2024,Gen Z,Middle Income,Same,Same,Same
129,20/03/2024,Gen Z,Low Income,Same,Same,Same
130,20/03/2024,Millennials,Low Income,Same,Same,Same
131,20/03/2024,Gen Z,Low Income,Same,Same,Same
132,20/03/2024,Millennials,Low Income,Same,Same,Same
133,20/03/2024,Millennials,Low Income,Same,Same,Same
134,20/03/2024,Millennials,Low Income,Same,Same,Same
135,20/03/2024,Gen Z,Low Income,Same,Less,Less
136,20/03/2024,Millennials,Middle Income,Same,Same,Same
137,20/03/2024,Gen X,Low Income,More,More,More
138,20/03/2024,Gen Z,High Income,Less,Less,Less
139,20/03/2024,Gen Z,Low Income,Same,Same,Same
140,20/03/2024,Gen X,Middle Income,Same,Same,Less
141,20/03/2024,Millennials,Low Income,Same,Less,Less
142,20/03/2024,Millennials,Low Income,Same,Same,Same
143,20/03/2024,Millennials,Low Income,Same,Same,Same
144,20/03/2024,Gen Z,Low Income,Less,Less,Same
145,20/03/2024,Gen Z,Low Income,Same,More,Same
146,20/03/2024,Gen Z,Low Income,Less,Same,Same
147,20/03/2024,Millennials,Low Income,Same,More,Same
148,20/03/2024,Millennials,Low Income,Same,Same,Same
149,20/03/2024,Millennials,Low Income,More,More,Same
150,20/03/2024,Gen Z,Low Income,More,Don't Know or Don't Buy,More
151,20/03/2024,Gen Z,Middle Income,Less,Same,More
152,20/03/2024,Gen Z,Low Income,Less,Same,More
153,20/03/2024,Gen Z,Low Income,Same,Same,Same
154,20/03/2024,Gen Z,Middle Income,Same,Less,Same
155,20/03/2024,Gen Z,Middle Income,Same,More,Same
156,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Same,Less
157,20/03/2024,Millennials,Middle Income,Same,More,Same
158,20/03/2024,Millennials,Middle Income,More,Same,More
159,20/03/2024,Millennials,Low Income,Same,Less,Same
160,20/03/2024,Gen Z,Low Income,Same,Same,Less
161,20/03/2024,Gen Z,Middle Income,Same,Same,Same
162,20/03/2024,Millennials,Middle Income,Same,Same,Same
163,20/03/2024,Gen X,Middle Income,Same,Same,Same
164,20/03/2024,Gen X,High Income,Same,More,Same
165,20/03/2024,Gen X,Middle Income,Same,Same,Same
166,20/03/2024,Millennials,Low Income,More,More,More
167,20/03/2024,Millennials,Low Income,Same,Same,Same
168,20/03/2024,Millennials,Middle Income,More,More,More
169,20/03/2024,Gen Z,Low Income,More,More,Less
170,20/03/2024,Gen X,High Income,More,More,More
171,20/03/2024,Gen X,Middle Income,Same,Same,Same
172,20/03/2024,Gen X,High Income,More,More,More
173,20/03/2024,Millennials,Low Income,Less,Less,Less
174,20/03/2024,Millennials,Middle Income,More,More,More
175,20/03/2024,Gen X,Middle Income,Same,Same,More
176,20/03/2024,Millennials,Low Income,Less,Less,Same
177,20/03/2024,Gen X,Middle Income,More,Don't Know or Don't Buy,Same
178,20/03/2024,Gen X,High Income,More,Same,More
179,20/03/2024,Gen Z,Middle Income,Same,Same,Same
180,20/03/2024,Millennials,Low Income,Less,Same,Less
181,20/03/2024,Millennials,Low Income,More,More,More
182,20/03/2024,Gen X,Middle Income,Same,Same,Less
183,20/03/2024,Baby Boomers,Middle Income,More,More,More
184,20/03/2024,Millennials,Middle Income,Same,Same,Less
185,20/03/2024,Millennials,Middle Income,Same,More,More
186,20/03/2024,Gen Z,Low Income,Same,Same,More
187,20/03/2024,Gen Z,Middle Income,Same,Same,More
188,20/03/2024,Baby Boomers,Middle Income,More,Less,More
189,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
190,20/03/2024,Gen Z,Middle Income,More,More,More
191,20/03/2024,Gen X,Middle Income,Same,Same,More
192,20/03/2024,Millennials,Middle Income,Same,Same,More
193,20/03/2024,Millennials,Middle Income,Same,More,More
194,20/03/2024,Gen X,Middle Income,Same,Less,Less
195,20/03/2024,Gen X,Middle Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Same
196,20/03/2024,Gen X,Middle Income,Same,Same,More
197,20/03/2024,Gen X,Middle Income,Same,More,Don't Know or Don't Buy
198,20/03/2024,Gen X,Low Income,Less,Less,Same
199,20/03/2024,Baby Boomers,Middle Income,Same,Same,More
200,20/03/2024,Millennials,Low Income,More,Less,Don't Know or Don't Buy
201,20/03/2024,Millennials,Middle Income,Same,Same,Same
202,20/03/2024,Millennials,Middle Income,More,More,More
203,20/03/2024,Millennials,Middle Income,Same,Less,Same
204,20/03/2024,Gen X,Middle Income,More,More,Same
205,20/03/2024,Millennials,Middle Income,Less,Less,More
206,20/03/2024,Millennials,Middle Income,Same,Same,Same
207,20/03/2024,Gen X,Middle Income,Same,Same,Same
208,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
209,20/03/2024,Millennials,Middle Income,Same,Same,Same
210,20/03/2024,Gen X,Middle Income,Same,Same,More
211,20/03/2024,Gen X,Middle Income,Same,Same,More
212,20/03/2024,Millennials,Middle Income,Same,More,Same
213,20/03/2024,Gen X,Middle Income,Same,Same,More
214,20/03/2024,Gen Z,High Income,Same,Less,Same
215,20/03/2024,Gen Z,Low Income,More,Same,More
216,20/03/2024,Gen Z,Low Income,More,Same,More
217,20/03/2024,Gen Z,Low Income,Less,Same,More
218,20/03/2024,Gen Z,High Income,Same,Less,Same
219,20/03/2024,Millennials,Low Income,Less,Same,Same
220,20/03/2024,Millennials,Low Income,Same,Same,Same
221,20/03/2024,Millennials,Low Income,More,Same,Same
222,20/03/2024,Millennials,Low Income,Less,More,More
223,20/03/2024,Millennials,Middle Income,More,More,Less
224,20/03/2024,Millennials,Low Income,Same,More,Same
225,20/03/2024,Millennials,Low Income,Same,More,More
226,20/03/2024,Millennials,Low Income,Same,Same,More
227,20/03/2024,Gen Z,Middle Income,Less,Less,Less
228,20/03/2024,Gen X,Middle Income,Same,Same,Same
229,20/03/2024,Gen X,Middle Income,Same,Same,Same
230,20/03/2024,Gen X,Middle Income,Same,Less,More
231,20/03/2024,Gen X,Middle Income,Same,Same,Same
232,20/03/2024,Gen Z,Low Income,More,More,More
233,20/03/2024,Gen X,Middle Income,Less,Less,Less
234,20/03/2024,Millennials,Low Income,Same,More,More
235,20/03/2024,Millennials,Low Income,More,Same,Same
236,20/03/2024,Millennials,Low Income,More,More,More
237,20/03/2024,Millennials,Middle Income,Same,Less,Same
238,20/03/2024,Gen Z,High Income,Less,Less,More
239,20/03/2024,Millennials,Low Income,Same,Same,More
240,20/03/2024,Gen Z,Middle Income,Less,Less,Same
241,20/03/2024,Gen X,Low Income,Same,Less,More
242,20/03/2024,Millennials,Low Income,Less,Same,Same
243,20/03/2024,Millennials,Low Income,Same,More,More
244,20/03/2024,Millennials,Middle Income,Same,Less,Same
245,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Less,Less
246,20/03/2024,Millennials,Middle Income,More,More,More
247,20/03/2024,Gen Z,Low Income,Same,Same,Less
248,20/03/2024,Gen X,Middle Income,Same,Same,Same
249,20/03/2024,Millennials,Middle Income,Same,Same,Less
250,20/03/2024,Gen X,Low Income,Same,Same,Less
251,20/03/2024,Millennials,Middle Income,Same,Same,Same
252,20/03/2024,Millennials,Middle Income,Same,Don't Know or Don't Buy,Less
253,20/03/2024,Millennials,Low Income,Less,Less,Less
254,20/03/2024,Millennials,Low Income,Same,Same,Same
255,20/03/2024,Millennials,Low Income,More,More,Same
256,20/03/2024,Millennials,Middle Income,Same,Don't Know or Don't Buy,Same
257,20/03/2024,Millennials,Middle Income,Same,Same,Same
258,20/03/2024,Millennials,Middle Income,Same,Less,Less
259,20/03/2024,Millennials,Middle Income,Less,Same,Same
260,20/03/2024,Millennials,Middle Income,Same,Same,Same
261,20/03/2024,Millennials,Middle Income,Same,Same,Same
262,20/03/2024,Gen X,Middle Income,Same,Don't Know or Don't Buy,Don't Know or Don't Buy
263,20/03/2024,Millennials,Middle Income,Same,More,More
264,20/03/2024,Millennials,Middle Income,Same,Same,Same
265,20/03/2024,Millennials,Middle Income,Same,More,More
266,20/03/2024,Millennials,Middle Income,Same,Same,Same
267,20/03/2024,Millennials,Middle Income,Same,Same,More
268,20/03/2024,Millennials,Low Income,More,More,More
269,20/03/2024,Gen X,High Income,Less,Less,Less
270,20/03/2024,Millennials,Middle Income,Same,Same,Same
271,20/03/2024,Millennials,Middle Income,Less,Same,Same
272,20/03/2024,Gen X,Middle Income,Same,Same,Less
273,20/03/2024,Gen X,Middle Income,Same,Less,Less
274,20/03/2024,Gen X,Low Income,Same,Same,More
275,20/03/2024,Baby Boomers,Middle Income,Less,Less,Less
276,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Same,Less
277,20/03/2024,Baby Boomers,Middle Income,Less,Less,Less
278,20/03/2024,Gen X,Low Income,Same,Same,Same
279,20/03/2024,Gen X,Low Income,Same,Less,Same
280,20/03/2024,Gen X,Middle Income,More,Don't Know or Don't Buy,Same
281,20/03/2024,Gen X,Middle Income,Same,Same,More
282,20/03/2024,Gen Z,Middle Income,Same,More,More
283,20/03/2024,Gen Z,Low Income,Same,Same,Same
284,20/03/2024,Gen Z,Low Income,Same,Same,Same
285,20/03/2024,Gen Z,Middle Income,Same,Same,More
286,20/03/2024,Gen Z,Low Income,More,Same,Same
287,20/03/2024,Gen Z,Middle Income,More,More,More
288,20/03/2024,Gen Z,Middle Income,Same,Less,Same
289,20/03/2024,Gen Z,Low Income,Less,Less,Less
290,20/03/2024,Gen Z,Middle Income,Same,Same,Same
291,20/03/2024,Gen Z,Middle Income,Same,Same,Same
292,20/03/2024,Gen Z,Low Income,Same,Same,Same
293,20/03/2024,Gen Z,Middle Income,Same,Same,More
294,20/03/2024,Gen Z,Low Income,Less,Same,Same
295,20/03/2024,Gen Z,Low Income,Same,Same,Same
296,20/03/2024,Gen Z,Middle Income,Same,Same,Same
297,20/03/2024,Gen Z,Middle Income,Same,Same,Same
298,20/03/2024,Gen Z,Low Income,Same,Less,Same
299,20/03/2024,Gen Z,Low Income,Same,Same,More
300,20/03/2024,Millennials,Middle Income,Same,Less,Same
301,20/03/2024,Millennials,Middle Income,Same,Less,More
302,20/03/2024,Millennials,Middle Income,Same,Same,Same
303,20/03/2024,Millennials,Middle Income,Same,Same,Same
304,20/03/2024,Millennials,Low Income,More,Same,More
305,20/03/2024,Millennials,Middle Income,Same,Same,Less
306,20/03/2024,Millennials,Low Income,Don't Know or Don't Buy,More,More
307,20/03/2024,Millennials,Middle Income,Same,Same,Same
308,20/03/2024,Millennials,Middle Income,Same,Same,Same
309,20/03/2024,Millennials,Middle Income,Same,Same,Less
310,20/03/2024,Millennials,Middle Income,Same,Same,Same
311,20/03/2024,Millennials,High Income,Same,Same,Same
312,20/03/2024,Millennials,Middle Income,Same,Less,Same
313,20/03/2024,Millennials,Middle Income,Same,Same,Same
314,20/03/2024,Millennials,Middle Income,Same,Same,Same
315,20/03/2024,Millennials,Low Income,Same,Same,Same
316,20/03/2024,Millennials,Middle Income,Same,Same,Same
317,20/03/2024,Millennials,Low Income,Same,Same,Same
318,20/03/2024,Millennials,Low Income,Same,More,More
319,20/03/2024,Millennials,High Income,Same,Same,Same
320,20/03/2024,Millennials,Middle Income,Same,Same,Less
321,20/03/2024,Millennials,Middle Income,Same,More,Same
322,20/03/2024,Millennials,Middle Income,Less,Same,Same
323,20/03/2024,Millennials,Middle Income,Same,Same,More
324,20/03/2024,Millennials,Low Income,Same,Same,Same
325,20/03/2024,Millennials,Middle Income,Same,Same,Same
326,20/03/2024,Millennials,Low Income,Same,Same,Same
327,20/03/2024,Millennials,Low Income,Same,Same,Less
328,20/03/2024,Millennials,Low Income,Less,More,Same
329,20/03/2024,Millennials,Low Income,More,Same,More
330,20/03/2024,Millennials,Middle Income,More,More,More
331,20/03/2024,Millennials,Middle Income,Same,Same,Same
332,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Less,Less
333,20/03/2024,Gen Z,Low Income,More,Same,More
334,20/03/2024,Millennials,Middle Income,Same,Same,Same
335,20/03/2024,Baby Boomers,High Income,Same,Same,Same
336,20/03/2024,Baby Boomers,Middle Income,Don't Know or Don't Buy,Less,Less
337,20/03/2024,Gen Z,Low Income,Less,Less,More
338,20/03/2024,Gen Z,Middle Income,Same,Don't Know or Don't Buy,Same
339,20/03/2024,Millennials,Low Income,Same,Same,Same
340,20/03/2024,Gen Z,Low Income,Same,Same,More
341,20/03/2024,Millennials,Low Income,Less,Less,Less
342,20/03/2024,Millennials,Low Income,Less,Less,Same
343,20/03/2024,Millennials,Low Income,Less,Less,Less
344,20/03/2024,Gen Z,Low Income,More,More,Same
345,20/03/2024,Gen Z,Low Income,Less,Less,More
346,20/03/2024,Gen Z,Low Income,Same,Same,Same
347,20/03/2024,Gen Z,Low Income,Same,Same,Same
348,20/03/2024,Millennials,Middle Income,Same,Same,Same
349,20/03/2024,Gen Z,High Income,Same,Don't Know or Don't Buy,Same
350,20/03/2024,Millennials,Low Income,Less,Less,More
351,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
352,20/03/2024,Gen Z,Low Income,Less,Less,More
353,20/03/2024,Baby Boomers,Low Income,More,More,Same
354,20/03/2024,Gen Z,Low Income,Less,Less,Less
355,20/03/2024,Millennials,Low Income,Same,Same,Same
356,20/03/2024,Gen Z,Low Income,Same,More,Same
357,20/03/2024,Gen X,High Income,Same,More,More
358,20/03/2024,Millennials,Low Income,Less,Less,Same
359,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
360,20/03/2024,Millennials,Low Income,More,Same,Same
361,20/03/2024,Millennials,Low Income,More,Same,Less
362,20/03/2024,Millennials,Low Income,More,More,More
363,20/03/2024,Millennials,Low Income,More,Same,More
364,20/03/2024,Gen X,Middle Income,Same,Same,Less
365,20/03/2024,Millennials,Low Income,Same,Same,Don't Know or Don't Buy
366,20/03/2024,Baby Boomers,Low Income,Less,Same,Same
367,20/03/2024,Gen Z,Low Income,Same,Same,Same
368,20/03/2024,Gen Z,Low Income,Same,Same,Same
369,20/03/2024,Gen Z,Middle Income,Same,Same,Same
370,20/03/2024,Gen Z,Low Income,Same,Same,Less
371,20/03/2024,Gen Z,Low Income,Less,Less,Less
372,20/03/2024,Gen Z,Middle Income,Same,Same,Same
373,20/03/2024,Gen Z,Low Income,Same,Same,More
374,20/03/2024,Gen Z,High Income,Same,Same,Same
375,20/03/2024,Gen Z,Low Income,Same,Same,Same
376,20/03/2024,Gen Z,Low Income,Less,Less,More
377,20/03/2024,Gen Z,Low Income,Less,Less,Less
378,20/03/2024,Gen Z,Low Income,Less,Less,Same
379,20/03/2024,Gen Z,Low Income,Same,Same,Same
380,20/03/2024,Gen Z,Low Income,Less,More,Less
381,20/03/2024,Gen Z,Low Income,Less,Same,More
382,20/03/2024,Gen Z,Low Income,Less,Same,Same
383,20/03/2024,Millennials,Middle Income,Less,Same,Same
384,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
385,20/03/2024,Gen Z,Middle Income,More,More,Same
386,20/03/2024,Gen X,Low Income,Same,Less,Same
387,20/03/2024,Baby Boomers,Low Income,Same,Same,Same
388,20/03/2024,Gen X,Low Income,Same,Same,More
389,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
390,20/03/2024,Baby Boomers,Middle Income,Same,More,Same
391,20/03/2024,Millennials,Low Income,Same,Same,Same
392,20/03/2024,Gen Z,Low Income,Same,Less,Less
393,20/03/2024,Gen Z,Middle Income,Same,Less,Less
394,20/03/2024,Gen Z,Low Income,Same,Same,Less
395,20/03/2024,Gen Z,Middle Income,Same,Same,Less
396,20/03/2024,Gen Z,Middle Income,Less,More,Same
397,20/03/2024,Gen Z,Low Income,Same,Same,Same
398,20/03/2024,Gen Z,Low Income,More,More,More
399,20/03/2024,Gen Z,Low Income,More,More,More
400,20/03/2024,Gen Z,Low Income,More,Less,More
401,20/03/2024,Gen Z,High Income,Same,Same,Same
402,20/03/2024,Gen Z,Low Income,Same,Don't Know or Don't Buy,Less
403,20/03/2024,Gen Z,Low Income,More,Same,More
404,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
405,20/03/2024,Gen X,High Income,Same,Same,Same
406,20/03/2024,Millennials,High Income,More,More,More
407,20/03/2024,Gen X,Low Income,Same,Same,Same
408,20/03/2024,Gen Z,Middle Income,Same,Same,Less
409,20/03/2024,Gen X,Low Income,Less,Less,Less
410,20/03/2024,Gen Z,Middle Income,More,More,Same
411,20/03/2024,Millennials,Middle Income,Same,Same,Less
412,20/03/2024,Millennials,Middle Income,Same,Same,Less
413,20/03/2024,Baby Boomers,Low Income,More,Same,More
414,20/03/2024,Millennials,Middle Income,More,More,Same
415,20/03/2024,Gen X,High Income,Same,Same,Same
416,20/03/2024,Millennials,Middle Income,Same,Same,Same
417,20/03/2024,Millennials,Low Income,Same,Same,Less
418,20/03/2024,Baby Boomers,Middle Income,Same,Same,Same
419,20/03/2024,Gen X,Middle Income,Same,Same,Same
420,20/03/2024,Gen X,High Income,Same,Same,Same
421,20/03/2024,Gen Z,Low Income,Same,Same,Same
422,20/03/2024,Gen X,Middle Income,Same,Same,Same
423,20/03/2024,Millennials,Middle Income,Same,Same,Same
424,20/03/2024,Millennials,Middle Income,Same,Same,More
425,20/03/2024,Gen Z,Low Income,Same,Same,Same
426,20/03/2024,Millennials,Middle Income,Same,Less,Same
427,20/03/2024,Gen Z,Middle Income,Same,Don't Know or Don't Buy,More
428,20/03/2024,Millennials,Low Income,Same,Same,Same
429,20/03/2024,Gen X,High Income,Same,Same,Same
430,20/03/2024,Millennials,Middle Income,Same,Same,Same
431,20/03/2024,Gen Z,Middle Income,Same,Same,Same
432,20/03/2024,Gen X,Middle Income,Same,Same,More
433,20/03/2024,Millennials,Middle Income,Less,Less,Don't Know or Don't Buy
434,20/03/2024,Gen Z,Low Income,Same,Same,Same
435,20/03/2024,Gen Z,Low Income,Same,Same,Same
436,20/03/2024,Gen Z,Low Income,Same,Same,More
437,20/03/2024,Millennials,Middle Income,Same,Same,Less
438,20/03/2024,Baby Boomers,Middle Income,Less,Less,Less
439,20/03/2024,Gen Z,Low Income,More,Same,More
440,20/03/2024,Gen Z,Low Income,Same,Same,Same
441,20/03/2024,Gen Z,Low Income,Same,Less,More
442,20/03/2024,Gen Z,Low Income,More,Less,More
443,20/03/2024,Millennials,Low Income,Same,Same,More
444,20/03/2024,Millennials,Low Income,Same,Same,Same
445,20/03/2024,Millennials,Low Income,Same,Same,Same
446,20/03/2024,Millennials,Low Income,More,More,More
447,20/03/2024,Gen Z,Low Income,More,More,More
448,20/03/2024,Gen Z,Low Income,Same,Same,More
449,20/03/2024,Millennials,Middle Income,Less,Same,More
450,20/03/2024,Gen Z,Middle Income,Same,Same,Same
451,20/03/2024,Millennials,Middle Income,Same,Same,Less
452,20/03/2024,Gen X,Low Income,Same,Less,More
453,20/03/2024,Millennials,Middle Income,Same,Same,More
454,20/03/2024,Gen Z,Low Income,Less,Less,Less
455,20/03/2024,Gen X,Middle Income,Same,Less,More
456,20/03/2024,Gen X,Middle Income,Same,Same,More
457,20/03/2024,Gen Z,Middle Income,More,More,More
458,20/03/2024,Gen Z,Middle Income,Same,Same,Same
459,20/03/2024,Gen Z,Low Income,Same,Same,Less
460,20/03/2024,Gen Z,Middle Income,Same,More,Don't Know or Don't Buy
461,20/03/2024,Gen Z,Low Income,Less,More,Same
462,20/03/2024,Millennials,Middle Income,Same,Same,Same
463,20/03/2024,Gen Z,Low Income,Same,Same,Less
464,20/03/2024,Gen Z,Low Income,Same,Same,More
465,20/03/2024,Gen Z,Middle Income,Same,Same,Less
466,20/03/2024,Gen Z,Low Income,Same,Don't Know or Don't Buy,Same
467,20/03/2024,Millennials,Middle Income,Less,Less,More
468,20/03/2024,Gen Z,Low Income,Same,Same,More
469,20/03/2024,Millennials,Low Income,Same,Same,More
470,20/03/2024,Gen Z,Low Income,Same,Same,Less
471,20/03/2024,Millennials,Low Income,Same,Less,Less
472,20/03/2024,Gen Z,Low Income,Same,Less,Less
473,20/03/2024,Gen Z,Low Income,Same,Same,More
474,20/03/2024,Gen Z,Low Income,More,Don't Know or Don't Buy,Same
475,20/03/2024,Gen Z,Low Income,Same,Less,Less
476,20/03/2024,Gen Z,Low Income,Same,Same,Less
477,20/03/2024,Gen Z,Low Income,Same,Same,Same
478,20/03/2024,Gen Z,Middle Income,Same,Same,Same
479,20/03/2024,Millennials,Low Income,More,More,More
480,20/03/2024,Gen Z,Low Income,Same,Same,Less
481,20/03/2024,Gen Z,Low Income,Same,Same,Same
