Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,101.099998,104.900002,100.699997,104.000000,103.818565,41478273
2023-02-14,103.599998,103.900002,102.300003,102.500000,102.321182,39436631
2023-02-15,102.300003,102.500000,100.099998,100.900002,100.723976,46755321
2023-02-16,102.000000,105.400002,101.500000,102.099998,101.921875,43292397
2023-02-17,102.099998,102.900002,99.449997,99.449997,99.276497,37616027
2023-02-20,98.800003,100.500000,98.000000,99.400002,99.226593,38508675
2023-02-21,99.500000,99.500000,95.000000,95.199997,95.033913,58373987
2023-02-22,92.099998,94.800003,92.099998,92.949997,92.787842,59459217
2023-02-23,92.750000,96.250000,92.599998,95.150002,94.984009,48408447
2023-02-24,93.250000,93.250000,90.000000,90.050003,89.892906,81538617
2023-02-27,88.000000,92.150002,87.750000,89.400002,89.244034,77371929
2023-02-28,88.250000,89.250000,86.050003,86.500000,86.349098,82590338
2023-03-01,86.699997,92.150002,86.599998,91.900002,91.739677,76906503
2023-03-02,88.599998,89.000000,87.449997,87.599998,87.447174,79258745
2023-03-03,89.500000,89.500000,87.300003,88.000000,87.846481,50893726
2023-03-06,87.349998,88.250000,86.550003,87.250000,87.097786,53347406
2023-03-07,89.000000,91.650002,87.800003,88.599998,88.445427,62222775
2023-03-08,87.000000,87.099998,85.099998,85.750000,85.600403,51977469
2023-03-09,86.300003,86.500000,84.500000,84.500000,84.352585,43587344
2023-03-10,81.500000,82.199997,81.000000,81.150002,81.008430,77303637
2023-03-13,82.400002,84.949997,81.449997,83.250000,83.104767,64694323
2023-03-14,81.500000,82.050003,79.500000,80.000000,79.860435,73040873
2023-03-15,82.699997,83.699997,81.550003,82.050003,81.906860,46739487
2023-03-16,80.199997,81.449997,79.800003,80.500000,80.359566,45643767
2023-03-17,81.400002,82.199997,80.550003,81.500000,81.357819,67317247
2023-03-20,80.949997,81.150002,78.099998,79.199997,79.061829,52567854
2023-03-21,79.349998,80.650002,78.699997,80.500000,80.359566,36073232
2023-03-22,82.199997,84.400002,82.099998,82.849998,82.705460,44553051
2023-03-23,82.550003,86.699997,82.349998,86.199997,86.049614,67377220
2023-03-24,85.449997,86.599998,84.500000,85.300003,85.151192,48345392
2023-03-27,86.349998,89.949997,83.800003,85.250000,85.101273,100519321
2023-03-28,85.099998,85.650002,83.300003,84.250000,84.103020,53162509
2023-03-29,96.849998,98.000000,94.349998,94.550003,94.385056,163130347
2023-03-30,97.099998,97.199997,94.650002,96.900002,96.730949,88453938
2023-03-31,101.199997,102.000000,99.599998,100.400002,100.224846,89687911
2023-04-03,99.000000,99.949997,97.599998,98.550003,98.378075,53752683
2023-04-04,96.150002,96.449997,93.699997,95.650002,95.483131,53862168
2023-04-06,96.199997,98.000000,95.900002,97.750000,97.579468,40751702
